run,seed,fold,MAE,RMSE,peakMAE,n
8 조합 (가중치+1주앞),0,2021-08,6.531352955601347,9.641628489615652,8.436813109142143,725
8 조합 (가중치+1주앞),1,ALL,9.35125892046032,17.38868333607007,18.002677876766416,1757
8 조합 (가중치+1주앞),1,2021-05,17.511597700722113,32.146449586143305,14.960471828848773,336
8 조합 (가중치+1주앞),1,2021-06,1.432707756373538,1.8048703925074947,,48
8 조합 (가중치+1주앞),1,2021-07,8.222347324710531,13.167054215454689,23.077344563932982,648
8 조합 (가중치+1주앞),1,2021-08,7.102640078741784,9.933306510262415,9.099526323458202,725
8 조합 (가중치+1주앞),2,ALL,9.52243496841943,17.68157735600863,17.07893244184039,1757
8 조합 (가중치+1주앞),2,2021-05,18.265585223841214,33.08959604456826,17.34639434017637,336
8 조합 (가중치+1주앞),2,2021-06,1.4594033726059383,1.8126403211176876,,48
8 조합 (가중치+1주앞),2,2021-07,8.4084372526339,13.090183912969193,22.000258792593453,648
8 조합 (가중치+1주앞),2,2021-08,6.999948831324742,9.841313237605121,8.162547816941354,725
9 조합 + 누락일 포함,0,ALL,12.035389623183764,21.613039278059595,18.693669628865877,1757
9 조합 + 누락일 포함,0,2021-05,19.829720432940057,36.63573490357432,27.43648992414012,336
9 조합 + 누락일 포함,0,2021-06,1.2390489368612416,1.558718662901152,,48
9 조합 + 누락일 포함,0,2021-07,7.8526783105523705,11.915364505359591,20.490338847721244,648
9 조합 + 누락일 포함,0,2021-08,12.876391183805154,19.56941398015717,14.833525581090454,725
9 조합 + 누락일 포함,1,ALL,12.42589940971741,23.705234594148315,19.806654779001626,1757
9 조합 + 누락일 포함,1,2021-05,19.898270927998173,37.12566090296493,23.86903474104676,336
9 조합 + 누락일 포함,1,2021-06,1.6103782994894538,1.9053650777741842,,48
9 조합 + 누락일 포함,1,2021-07,8.18868132419136,12.656003161007305,21.410756833105825,648
9 조합 + 누락일 포함,1,2021-08,13.4661001029167,24.075865857321155,16.62293492951192,725
9 조합 + 누락일 포함,2,ALL,12.207979036941577,22.78620609750401,19.334937276035177,1757
9 조합 + 누락일 포함,2,2021-05,20.281541104764308,37.525709931508,27.317512625355086,336
9 조합 + 누락일 포함,2,2021-06,1.30802850482326,1.6078562057446453,,48
9 조합 + 누락일 포함,2,2021-07,8.101489050708773,12.389425615395576,20.126763143467247,648
9 조합 + 누락일 포함,2,2021-08,12.858304942916893,21.64016820513314,17.343913315635486,725
10 가중치 0.1,0,ALL,10.422843115394885,18.876443075432704,17.413012915931557,1757
10 가중치 0.1,0,2021-05,20.877588357401677,36.3404648432583,31.458787778567135,336
10 가중치 0.1,0,2021-06,1.5086994451798394,1.8381073827219763,,48
10 가중치 0.1,0,2021-07,8.794145411303656,12.416021325004364,20.257161347619807,648
10 가중치 0.1,0,2021-08,7.623506021749584,10.652288588642211,11.041501288263701,725
10 가중치 0.1,1,ALL,10.291035958270783,19.378969866449495,16.55237948487122,1757
10 가중치 0.1,1,2021-05,21.750875921567143,38.36005931651881,35.104024848708995,336
10 가중치 0.1,1,2021-06,1.546198081390085,1.9020955173394791,,48
10 가중치 0.1,1,2021-07,8.617071452063367,12.067328056661758,19.779797752345505,648
10 가중치 0.1,1,2021-08,7.055139393367474,9.887220505094506,9.093040741554727,725
10 가중치 0.1,2,ALL,9.938305467201111,18.704825857920618,15.936747915365038,1757
10 가중치 0.1,2,2021-05,21.11380868656483,37.0536737637605,31.362425202894066,336
10 가중치 0.1,2,2021-06,1.534590100595155,1.8604387616446092,,48
10 가중치 0.1,2,2021-07,8.65095433992696,11.985650453131232,19.156902021524722,648
