run,seed,fold,MAE,RMSE,peakMAE,n
26 공휴일 피처,2,2021-05,18.265585223841214,33.08959604456826,17.34639434017637,336
26 공휴일 피처,2,2021-06,1.543525833029321,1.8957643271684572,,48
26 공휴일 피처,2,2021-07,8.21037208143635,12.610425671717184,20.935423942218822,648
26 공휴일 피처,2,2021-08,6.985854109808394,9.654384937776253,9.924158916709288,725
27 공휴일 가중 5배,0,ALL,10.100296192830553,18.055414936976703,17.73949156046294,1757
27 공휴일 가중 5배,0,2021-05,18.293183263981547,32.62127485243368,15.67001093561808,336
27 공휴일 가중 5배,0,2021-06,1.4634066569461626,1.791840291455646,,48
27 공휴일 가중 5배,0,2021-07,8.638346394610744,13.576453777114574,23.368366240085052,648
27 공휴일 가중 5배,0,2021-08,8.181819104640418,11.485005536719045,7.749549650342709,725
27 공휴일 가중 5배,1,ALL,10.448544265349254,18.06610222871432,17.093329111671107,1757
27 공휴일 가중 5배,1,2021-05,17.511597700722113,32.146449586143305,14.960471828848773,336
27 공휴일 가중 5배,1,2021-06,1.3143879658531539,1.6281361783243886,,48
27 공휴일 가중 5배,1,2021-07,8.128431991034137,12.746144686826016,21.759154281869275,648
27 공휴일 가중 5배,1,2021-08,9.8536288196206,12.909887842863656,8.849193916648316,725
27 공휴일 가중 5배,2,ALL,10.418840635655666,18.478610241734305,18.125918864273547,1757
27 공휴일 가중 5배,2,2021-05,18.265585223841214,33.08959604456826,17.34639434017637,336
27 공휴일 가중 5배,2,2021-06,1.3829690664036736,1.730338893450194,,48
27 공휴일 가중 5배,2,2021-07,8.520560200641041,13.55932703901499,22.963819388905407,648
27 공휴일 가중 5배,2,2021-08,9.07718736059805,12.471648721863172,9.452127085035041,725
28 공휴일 피처+가중,0,ALL,11.428108422623735,19.13880954456019,17.436801371383133,1757
28 공휴일 피처+가중,0,2021-05,18.293183263981547,32.62127485243368,15.67001093561808,336
28 공휴일 피처+가중,0,2021-06,1.3859559509792057,1.7259951172990151,,48
28 공휴일 피처+가중,0,2021-07,8.401170239702129,13.10079190401144,21.963595316669743,648
28 공휴일 피처+가중,0,2021-08,11.61681754603879,15.521522662749753,9.411786911984969,725
28 공휴일 피처+가중,1,ALL,10.182502559534509,17.846327000224562,18.21827727771452,1757
28 공휴일 피처+가중,1,2021-05,17.511597700722113,32.146449586143305,14.960471828848773,336
28 공휴일 피처+가중,1,2021-06,1.3016074540921132,1.611006923772798,,48
28 공휴일 피처+가중,1,2021-07,8.362709932134479,13.08021674298391,22.79551335230773,648
28 공휴일 피처+가중,1,2021-08,9.000340656330946,11.824968996903676,10.232903796332563,725
28 공휴일 피처+가중,2,ALL,9.96170063040431,17.809424536373236,17.494444804267147,1757
28 공휴일 피처+가중,2,2021-05,18.265585223841214,33.08959604456826,17.34639434017637,336
28 공휴일 피처+가중,2,2021-06,1.3687965694347393,1.6854498070726462,,48
28 공휴일 피처+가중,2,2021-07,7.946599618149935,12.311291964210081,21.741726384668123,648
28 공휴일 피처+가중,2,2021-08,8.483272530366483,11.205392360980827,9.832519357585628,725
29 나무 더 깊게,0,ALL,10.563490402644614,19.834236855057267,22.317618449774795,1757
29 나무 더 깊게,0,2021-05,19.385401114980596,34.984675877955446,19.180195557543072,336
29 나무 더 깊게,0,2021-06,1.4010469268033552,1.7568183548934488,,48
