model,fset,clone,MAE,RMSE,peakMAE,n,group,part
ensemble,full,drop,14.257242951486386,21.1772465708945,26.777435887481303,720.0,전체,2021-06
ensemble,full,keep,8.096844474129869,11.313120050661901,14.974089387615143,720.0,전체,2021-06
ensemble,no_plan,down,13.721393258889977,20.321726552774766,24.178317163302314,720.0,전체,2021-06
ensemble,no_plan,drop,30.102689689031084,41.751702852798495,42.08954554330502,720.0,전체,2021-06
ensemble,no_plan,keep,13.299896012809745,19.07501476884034,23.324027888770672,720.0,전체,2021-06
lgbm,full,down,9.151633063874526,13.210197107787042,18.61587824152202,720.0,전체,2021-06
lgbm,full,drop,14.271807285060953,21.432304659806665,26.576941807141115,720.0,전체,2021-06
lgbm,full,keep,9.674368175868716,13.113726283314058,17.032348228413433,720.0,전체,2021-06
lgbm,no_plan,down,16.623950028570235,24.62578275221203,26.872337939221207,720.0,전체,2021-06
lgbm,no_plan,drop,28.59858342800319,39.00241488439122,41.195825118379545,720.0,전체,2021-06
lgbm,no_plan,keep,16.889890086570563,25.119457954694678,27.506454246258034,720.0,전체,2021-06
ridge,full,down,12.459854522112384,15.395468960672504,13.24353640836031,720.0,전체,2021-06
ridge,full,drop,19.353105426633256,24.83032814944101,31.269439774647548,720.0,전체,2021-06
ridge,full,keep,11.946165944697649,14.609791158740947,11.654289690236459,720.0,전체,2021-06
ridge,no_plan,down,12.443257086958313,16.5689974822133,20.145793930270624,720.0,전체,2021-06
ridge,no_plan,drop,30.102689689031084,41.751702852798495,42.08954554330502,720.0,전체,2021-06
ridge,no_plan,keep,11.101749757041551,14.151682255089275,17.29093021248248,720.0,전체,2021-06
baseline_lag168,-,keep,8.83764367816092,16.04004507403304,15.050420168067227,696.0,전체,2021-07
baseline_lag24,-,keep,40.61925287356322,65.6116338331311,38.2436974789916,696.0,전체,2021-07
baseline_요일x시간 평균,-,keep,26.430002210433244,32.61246211366573,44.030187459599226,696.0,전체,2021-07
baseline_전체 평균,-,keep,52.8452866683601,60.87576688019142,91.99977753532355,696.0,전체,2021-07
ensemble,full,down,12.363443756206223,17.372469997402913,23.317325139061857,696.0,전체,2021-07
ensemble,full,drop,14.106911219241637,20.219920811375736,29.699488211901098,696.0,전체,2021-07
ensemble,full,keep,12.189522691347097,17.269421763942063,23.37410572887468,696.0,전체,2021-07
ensemble,no_plan,down,11.39701300042965,16.338414366587234,25.950827562463253,696.0,전체,2021-07
